CB05,PAR,1.
CB05,OLE,2.
CB05,TOL,7.
CB05,XYL,8.
CB05,FORM,1.
CB05,ALD2,2.
CB05,ETH,2.
CB05,ISOP,5.
CB05,MEOH,1.
CB05,ETOH,2.
CB05,CH4,1.
CB05,ETHA,2.
CB05,IOLE,4.
CB05,ALDX,2.
CB05,TERP,10.
CB05,UNR,1.
CB05,NVOL,1.
CBIV,PAR,1.
CBIV,OLE,2.
CBIV,TOL,7.
CBIV,XYL,8.
CBIV,FORM,1.
CBIV,ALD2,2.
CBIV,ETH,2.
CBIV,ISOP,5.
CBIV,MEOH,1.
CBIV,ETOH,2.
CBIV,UNR,1.
CBIV,NVOL,1.
SAPRC99,CH4,1.
SAPRC99,ALK1,2.
SAPRC99,ALK2,3.
SAPRC99,ALK3,4.
SAPRC99,ALK4,5.
SAPRC99,ALK5,8.
SAPRC99,ETHE,2.
SAPRC99,OLE1,5.
SAPRC99,OLE2,5.
SAPRC99,ISOP,5.
SAPRC99,TERP,10.
SAPRC99,ARO1,7.
SAPRC99,ARO2,9.
SAPRC99,HCHO,1.
SAPRC99,CCHO,2.
SAPRC99,RCHO,3.
SAPRC99,BALD,7.
SAPRC99,ACET,3.
SAPRC99,MEK,4.
SAPRC99,PRD2,6.
SAPRC99,MEOH,1.
SAPRC99,GLY,2.
SAPRC99,MGLY,3.
SAPRC99,BACL,4.
SAPRC99,PHEN,6.
SAPRC99,CRES,7.
SAPRC99,MACR,4.
SAPRC99,MVK,4.
SAPRC99,IPRD,5.
SAPRC99,NROG,2.
SAPRC99,NVOL,1.
SOA_CAMX45,NONSOA,1.
SOA_CAMX45,TOLA,7.
SOA_CAMX45,XYLA,8.
SOA_CAMX45_SP99,NONSOA,1.
SOA_CAMX45_SP99,TOLA,7.
SOA_CAMX45_SP99,XYLA,9.
CB6,ALD2,2.
CB6,ALDX,2.
CB6,CH4,1.
CB6,ETH,2.
CB6,ETHA,2.
CB6,ETOH,2.
CB6,FORM,1.
CB6,IOLE,4.
CB6,ISOP,5.
CB6,MEOH,1.
CB6,NVOL,1.
CB6,OLE,2.
CB6,PAR,1.
CB6,TERP,10.
CB6,TOL,7.
CB6,UNR,1.
CB6,XYL,8.
CB6,ETHY,2.
CB6,PRPA,3.
CB6,BENZ,6.
CB6,ACET,2.
CB6,KET,1.
"SAPRC99B","CH4","1"
"SAPRC99B","ALK1","2"
"SAPRC99B","ALK2","3"
"SAPRC99B","ALK3","4"
"SAPRC99B","ALK4","5"
"SAPRC99B","ALK5","8"
"SAPRC99B","ETHE","2"
"SAPRC99B","OLE1","5"
"SAPRC99B","OLE2","5"
"SAPRC99B","ISOP","5"
"SAPRC99B","TERP","10"
"SAPRC99B","ARO1","7"
"SAPRC99B","ARO2","9"
"SAPRC99B","HCHO","1"
"SAPRC99B","CCHO","2"
"SAPRC99B","RCHO","3"
"SAPRC99B","BALD","7"
"SAPRC99B","ACET","3"
"SAPRC99B","MEK","4"
"SAPRC99B","PRD2","6"
"SAPRC99B","MEOH","1"
"SAPRC99B","GLY","2"
"SAPRC99B","MGLY","3"
"SAPRC99B","BACL","4"
"SAPRC99B","PHEN","6"
"SAPRC99B","CRES","7"
"SAPRC99B","MACR","4"
"SAPRC99B","MVK","4"
"SAPRC99B","IPRD","5"
"SAPRC99B","FACD","1"
"SAPRC99B","AACD","2"
"SAPRC99B","PACD","3"
"SAPRC99B","NVOL","1"
"SAPRC99B","NROG","2"
"SAPRC07","CH4","1"
"SAPRC07","ALK1","2"
"SAPRC07","ALK2","3"
"SAPRC07","ALK3","4"
"SAPRC07","ALK4","5"
"SAPRC07","ALK5","8"
"SAPRC07","ETHE","2"
"SAPRC07","OLE1","5"
"SAPRC07","OLE2","5"
"SAPRC07","ISOP","5"
"SAPRC07","TERP","10"
"SAPRC07","BENZ","6"
"SAPRC07","ARO1","7"
"SAPRC07","ARO2","9"
"SAPRC07","ACYE","2"
"SAPRC07","HCHO","1"
"SAPRC07","CCHO","2"
"SAPRC07","RCHO","3"
"SAPRC07","BALD","7"
"SAPRC07","ACET","3"
"SAPRC07","MEK","4"
"SAPRC07","PRD2","6"
"SAPRC07","MEOH","1"
"SAPRC07","FACD","1"
"SAPRC07","AACD","2"
"SAPRC07","PACD","3"
"SAPRC07","GLY","2"
"SAPRC07","MGLY","3"
"SAPRC07","BACL","4"
"SAPRC07","CRES","7"
"SAPRC07","MACR","4"
"SAPRC07","MVK","4"
"SAPRC07","IPRD","5"
"SAPRC07","RNO3","6"
"SAPRC07","NVOL","1"
"SAPRC07","NROG","2"
"CS07","ALK3","3"
"CS07","ALK4","5"
"CS07","ETHE","2"
"CS07","OLE1","5"
"CS07","OLE2","5"
"CS07","ISOP","5"
"CS07","TERP","10"
"CS07","ARO1","8"
"CS07","ARO2","9"
"CS07","HCHO","1"
"CS07","CCHO","2"
"CS07","RCHO","3"
"CS07","PRD2","6"
"CS07","MGLY","3"
"CS07","CRES","7"
"CS07","AFG1","5"
"CS07","IPRD","5"
"CS07","RNO3","6"
"CS07","NVOL","1"
"CS07","NROG","2"
"SAPRC07T","CH4","1"
"SAPRC07T","ALK1","2"
"SAPRC07T","ALK2","3"
"SAPRC07T","ALK3","4"
"SAPRC07T","ALK4","5"
"SAPRC07T","ALK5","8"
"SAPRC07T","ETHE","2"
"SAPRC07T","PRPE","3"
"SAPRC07T","OLE1","5"
"SAPRC07T","OLE2","5"
"SAPRC07T","13BDE","4"
"SAPRC07T","ISOP","5"
"SAPRC07T","APIN","10"
"SAPRC07T","TERP","10"
"SAPRC07T","SESQ","15"
"SAPRC07T","BENZ","6"
"SAPRC07T","TOLU","7"
"SAPRC07T","ARO1","8"
"SAPRC07T","OXYL","8"
"SAPRC07T","MXYL","8"
"SAPRC07T","PXYL","8"
"SAPRC07T","B124","9"
"SAPRC07T","ARO2","9"
"SAPRC07T","ACYE","2"
"SAPRC07T","HCHO","1"
"SAPRC07T","CCHO","2"
"SAPRC07T","RCHO","3"
"SAPRC07T","BALD","7"
"SAPRC07T","ACET","3"
"SAPRC07T","MEK","4"
"SAPRC07T","PRD2","6"
"SAPRC07T","MEOH","1"
"SAPRC07T","ETOH","2"
"SAPRC07T","FACD","1"
"SAPRC07T","AACD","2"
"SAPRC07T","PACD","3"
"SAPRC07T","GLY","2"
"SAPRC07T","MGLY","3"
"SAPRC07T","BACL","4"
"SAPRC07T","CRES","7"
"SAPRC07T","ACRO","3"
"SAPRC07T","MACR","4"
"SAPRC07T","MVK","4"
"SAPRC07T","IPRD","5"
"SAPRC07T","RNO3","6"
"SAPRC07T","NVOL","1"
"SAPRC07T","NROG","2"
SOA_CB6CAMX6P2,NONSOA,1.
SOA_CB6CAMX6P2,TOLA,7.
SOA_CB6CAMX6P2,XYLA,8.
SOA_CB6CAMX6P2,BNZA,6.
SOA_CB6CAMX6P2,TRP,10.
SOA_CB6CAMX6P2,ISP,5.
